x,y,u,v,p,speed
 0.88672,   0.00390625,   0.00124396,   0.00004558,   0.02996467,   0.00124480
 0.89453,   0.00390625,   0.00114801,   0.00005036,   0.02982604,   0.00114912
 0.90234,   0.00390625,   0.00104329,   0.00005436,   0.02970381,   0.00104471
 0.91016,   0.00390625,   0.00093145,   0.00005748,   0.02959855,   0.00093322
 0.91797,   0.00390625,   0.00081434,   0.00005963,   0.02951068,   0.00081652
 0.92578,   0.00390625,   0.00069403,   0.00006068,   0.02944053,   0.00069668
 0.93359,   0.00390625,   0.00057291,   0.00006045,   0.02938826,   0.00057609
 0.94141,   0.00390625,   0.00045373,   0.00005873,   0.02935379,   0.00045751
 0.94922,   0.00390625,   0.00033970,   0.00005529,   0.02933669,   0.00034417
 0.95703,   0.00390625,   0.00023460,   0.00004981,   0.02933601,   0.00023983
 0.96484,   0.00390625,   0.00014280,   0.00004199,   0.02934995,   0.00014884
 0.97266,   0.00390625,   0.00006923,   0.00003158,   0.02937546,   0.00007609
 0.98047,   0.00390625,   0.00001890,   0.00001874,   0.02940756,   0.00002662
 0.98828,   0.00390625,  -0.00000474,   0.00000489,   0.02943847,   0.00000681
 0.99609,   0.00390625,  -0.00000481,  -0.00000481,   0.02945707,   0.00000681
 0.00391,   0.01171875,   0.00001044,  -0.00001470,   0.03581825,   0.00001803
 0.01172,   0.01171875,   0.00004639,  -0.00004629,   0.03582614,   0.00006553
 0.01953,   0.01171875,   0.00010654,  -0.00006635,   0.03582651,   0.00012551
 0.02734,   0.01171875,   0.00017918,  -0.00007409,   0.03581739,   0.00019389
 0.03516,   0.01171875,   0.00025360,  -0.00007192,   0.03579785,   0.00026360
 0.04297,   0.01171875,   0.00032115,  -0.00006257,   0.03576790,   0.00032719
 0.05078,   0.01171875,   0.00037538,  -0.00004832,   0.03572807,   0.00037847
 0.05859,   0.01171875,   0.00041178,  -0.00003089,   0.03567920,   0.00041293
 0.06641,   0.01171875,   0.00042741,  -0.00001158,   0.03562224,   0.00042757
 0.07422,   0.01171875,   0.00042055,   0.00000869,   0.03555814,   0.00042063
 0.08203,   0.01171875,   0.00039030,   0.00002927,   0.03548778,   0.00039140
 0.08984,   0.01171875,   0.00033644,   0.00004972,   0.03541196,   0.00034010
 0.09766,   0.01171875,   0.00025915,   0.00006976,   0.03533141,   0.00026838
 0.10547,   0.01171875,   0.00015890,   0.00008921,   0.03524672,   0.00018223
 0.11328,   0.01171875,   0.00003631,   0.00010800,   0.03515839,   0.00011394
 0.12109,   0.01171875,  -0.00010792,   0.00012611,   0.03506685,   0.00016598
 0.12891,   0.01171875,  -0.00027309,   0.00014357,   0.03497246,   0.00030853
 0.13672,   0.01171875,  -0.00045852,   0.00016044,   0.03487549,   0.00048577
 0.14453,   0.01171875,  -0.00066359,   0.00017678,   0.03477618,   0.00068674
 0.15234,   0.01171875,  -0.00088779,   0.00019269,   0.03467475,   0.00090846
 0.16016,   0.01171875,  -0.00113064,   0.00020825,   0.03457136,   0.00114966
 0.16797,   0.01171875,  -0.00139180,   0.00022353,   0.03446619,   0.00140963
 0.17578,   0.01171875,  -0.00167095,   0.00023859,   0.03435940,   0.00168790
 0.18359,   0.01171875,  -0.00196788,   0.00025350,   0.03425115,   0.00198414
 0.19141,   0.01171875,  -0.00228239,   0.00026829,   0.03414162,   0.00229810
 0.19922,   0.01171875,  -0.00261433,   0.00028300,   0.03403101,   0.00262961
 0.20703,   0.01171875,  -0.00296358,   0.00029761,   0.03391954,   0.00297848
 0.21484,   0.01171875,  -0.00332997,   0.00031214,   0.03380746,   0.00334457
 0.22266,   0.01171875,  -0.00371336,   0.00032655,   0.03369504,   0.00372769
 0.23047,   0.01171875,  -0.00411353,   0.00034081,   0.03358260,   0.00412762
 0.23828,   0.01171875,  -0.00453022,   0.00035486,   0.03347046,   0.00454410
 0.24609,   0.01171875,  -0.00496311,   0.00036863,   0.03335902,   0.00497678
 0.25391,   0.01171875,  -0.00541177,   0.00038206,   0.03324869,   0.00542524
 0.26172,   0.01171875,  -0.00587569,   0.00039504,   0.03313989,   0.00588895
 0.26953,   0.01171875,  -0.00635423,   0.00040748,   0.03303312,   0.00636728
 0.27734,   0.01171875,  -0.00684665,   0.00041928,   0.03292888,   0.00685947
 0.28516,   0.01171875,  -0.00735206,   0.00043031,   0.03282771,   0.00736464
 0.29297,   0.01171875,  -0.00786944,   0.00044045,   0.03273016,   0.00788176
 0.30078,   0.01171875,  -0.00839763,   0.00044958,   0.03263683,   0.00840965
 0.30859,   0.01171875,  -0.00893530,   0.00045757,   0.03254831,   0.00894701
 0.31641,   0.01171875,  -0.00948100,   0.00046427,   0.03246522,   0.00949236
 0.32422,   0.01171875,  -0.01003308,   0.00046956,   0.03238820,   0.01004406
 0.33203,   0.01171875,  -0.01058978,   0.00047329,   0.03231786,   0.01060035
 0.33984,   0.01171875,  -0.01114915,   0.00047534,   0.03225485,   0.01115928
 0.34766,   0.01171875,  -0.01170910,   0.00047557,   0.03219979,   0.01171876
 0.35547,   0.01171875,  -0.01226741,   0.00047386,   0.03215328,   0.01227656
 0.36328,   0.01171875,  -0.01282169,   0.00047007,   0.03211590,   0.01283031
 0.37109,   0.01171875,  -0.01336944,   0.00046410,   0.03208822,   0.01337749
 0.37891,   0.01171875,  -0.01390802,   0.00045583,   0.03207075,   0.01391549
 0.38672,   0.01171875,  -0.01443470,   0.00044518,   0.03206395,   0.01444156
 0.39453,   0.01171875,  -0.01494663,   0.00043206,   0.03206825,   0.01495287
 0.40234,   0.01171875,  -0.01544091,   0.00041640,   0.03208398,   0.01544652
 0.41016,   0.01171875,  -0.01591455,   0.00039815,   0.03211142,   0.01591953
 0.41797,   0.01171875,  -0.01636455,   0.00037728,   0.03215078,   0.01636889
 0.42578,   0.01171875,  -0.01678785,   0.00035377,   0.03220213,   0.01679158
 0.43359,   0.01171875,  -0.01718143,   0.00032762,   0.03226550,   0.01718455
 0.44141,   0.01171875,  -0.01754229,   0.00029887,   0.03234077,   0.01754483
 0.44922,   0.01171875,  -0.01786747,   0.00026756,   0.03242774,   0.01786947
 0.45703,   0.01171875,  -0.01815411,   0.00023378,   0.03252605,   0.01815561
 0.46484,   0.01171875,  -0.01839946,   0.00019762,   0.03263526,   0.01840052
 0.47266,   0.01171875,  -0.01860091,   0.00015922,   0.03275478,   0.01860160
 0.48047,   0.01171875,  -0.01875603,   0.00011872,   0.03288390,   0.01875640
 0.48828,   0.01171875,  -0.01886256,   0.00007632,   0.03302177,   0.01886271
 0.49609,   0.01171875,  -0.01891851,   0.00003222,   0.03316743,   0.01891853
 0.50391,   0.01171875,  -0.01892212,  -0.00001335,   0.03331979,   0.01892213
 0.51172,   0.01171875,  -0.01887194,  -0.00006013,   0.03347764,   0.01887203
 0.51953,   0.01171875,  -0.01876681,  -0.00010784,   0.03363965,   0.01876712
 0.52734,   0.01171875,  -0.01860593,  -0.00015617,   0.03380442,   0.01860659
 0.53516,   0.01171875,  -0.01838885,  -0.00020480,   0.03397042,   0.01838999
 0.54297,   0.01171875,  -0.01811549,  -0.00025339,   0.03413608,   0.01811726
 0.55078,   0.01171875,  -0.01778618,  -0.00030159,   0.03429974,   0.01778874
 0.55859,   0.01171875,  -0.01740166,  -0.00034903,   0.03445972,   0.01740516
 0.56641,   0.01171875,  -0.01696306,  -0.00039534,   0.03461431,   0.01696767
 0.57422,   0.01171875,  -0.01647197,  -0.00044015,   0.03476178,   0.01647785
 0.58203,   0.01171875,  -0.01593037,  -0.00048308,   0.03490043,   0.01593769
 0.58984,   0.01171875,  -0.01534068,  -0.00052377,   0.03502860,   0.01534962
 0.59766,   0.01171875,  -0.01470571,  -0.00056185,   0.03514467,   0.01471644
 0.60547,   0.01171875,  -0.01402868,  -0.00059699,   0.03524714,   0.01404138
 0.61328,   0.01171875,  -0.01331317,  -0.00062886,   0.03533458,   0.01332801
 0.62109,   0.01171875,  -0.01256310,  -0.00065717,   0.03540569,   0.01258028
 0.62891,   0.01171875,  -0.01178273,  -0.00068163,   0.03545932,   0.01180243
 0.63672,   0.01171875,  -0.01097660,  -0.00070202,   0.03549449,   0.01099903
 0.64453,   0.01171875,  -0.01014948,  -0.00071813,   0.03551038,   0.01017485
 0.65234,   0.01171875,  -0.00930635,  -0.00072980,   0.03550638,   0.00933492
 0.66016,   0.01171875,  -0.00845234,  -0.00073691,   0.03548207,   0.00848441
 0.66797,   0.01171875,  -0.00759271,  -0.00073940,   0.03543723,   0.00762863
 0.67578,   0.01171875,  -0.00673274,  -0.00073723,   0.03537189,   0.00677298
 0.68359,   0.01171875,  -0.00587774,  -0.00073043,   0.03528626,   0.00592295
 0.69141,   0.01171875,  -0.00503295,  -0.00071907,   0.03518077,   0.00508406
 0.69922,   0.01171875,  -0.00420351,  -0.00070327,   0.03505608,   0.00426194
 0.70703,   0.01171875,  -0.00339441,  -0.00068320,   0.03491302,   0.00346249
 0.71484,   0.01171875,  -0.00261043,  -0.00065907,   0.03475262,   0.00269234
 0.72266,   0.01171875,  -0.00185608,  -0.00063112,   0.03457608,   0.00196044
 0.73047,   0.01171875,  -0.00113558,  -0.00059964,   0.03438475,   0.00128418
 0.73828,   0.01171875,  -0.00045282,  -0.00056496,   0.03418013,   0.00072403
 0.74609,   0.01171875,   0.00018872,  -0.00052743,   0.03396380,   0.00056018
 0.75391,   0.01171875,   0.00078592,  -0.00048743,   0.03373748,   0.00092480
 0.76172,   0.01171875,   0.00133612,  -0.00044533,   0.03350290,   0.00140838
 0.76953,   0.01171875,   0.00183709,  -0.00040154,   0.03326189,   0.00188046
 0.77734,   0.01171875,   0.00228708,  -0.00035648,   0.03301625,   0.00231469
 0.78516,   0.01171875,   0.00268478,  -0.00031055,   0.03276781,   0.00270268
 0.79297,   0.01171875,   0.00302934,  -0.00026415,   0.03251838,   0.00304084
 0.80078,   0.01171875,   0.00332039,  -0.00021768,   0.03226970,   0.00332752
 0.80859,   0.01171875,   0.00355798,  -0.00017151,   0.03202348,   0.00356211
 0.81641,   0.01171875,   0.00374259,  -0.00012601,   0.03178134,   0.00374471
 0.82422,   0.01171875,   0.00387511,  -0.00008151,   0.03154483,   0.00387597
 0.83203,   0.01171875,   0.00395681,  -0.00003833,   0.03131539,   0.00395700
 0.83984,   0.01171875,   0.00398933,   0.00000323,   0.03109437,   0.00398934
 0.84766,   0.01171875,   0.00397465,   0.00004290,   0.03088301,   0.00397488
 0.85547,   0.01171875,   0.00391506,   0.00008041,   0.03068244,   0.00391589
 0.86328,   0.01171875,   0.00381317,   0.00011551,   0.03049370,   0.00381492
 0.87109,   0.01171875,   0.00367188,   0.00014798,   0.03031770,   0.00367486
 0.87891,   0.01171875,   0.00349439,   0.00017755,   0.03015529,   0.00349890
 0.88672,   0.01171875,   0.00328420,   0.00020398,   0.03000719,   0.00329053
 0.89453,   0.01171875,   0.00304516,   0.00022696,   0.02987404,   0.00305361
 0.90234,   0.01171875,   0.00278148,   0.00024617,   0.02975639,   0.00279236
 0.91016,   0.01171875,   0.00249780,   0.00026120,   0.02965467,   0.00251142
 0.91797,   0.01171875,   0.00219926,   0.00027158,   0.02956923,   0.00221596
 0.92578,   0.01171875,   0.00189159,   0.00027671,   0.02950026,   0.00191172
 0.93359,   0.01171875,   0.00158123,   0.00027589,   0.02944778,   0.00160512
 0.94141,   0.01171875,   0.00127544,   0.00026826,   0.02941155,   0.00130335
 0.94922,   0.01171875,   0.00098240,   0.00025284,   0.02939102,   0.00101441
 0.95703,   0.01171875,   0.00071121,   0.00022856,   0.02938512,   0.00074703
 0.96484,   0.01171875,   0.00047181,   0.00019444,   0.02939210,   0.00051030
 0.97266,   0.01171875,   0.00027446,   0.00015005,   0.02940929,   0.00031279
 0.98047,   0.01171875,   0.00012848,   0.00009658,   0.02943273,   0.00016073
 0.98828,   0.01171875,   0.00003959,   0.00003958,   0.02945705,   0.00005598
 0.99609,   0.01171875,   0.00000490,  -0.00000473,   0.02947566,   0.00000681
 0.00391,   0.01953125,   0.00001602,  -0.00004116,   0.03581585,   0.00004417
 0.01172,   0.01953125,   0.00006682,  -0.00010658,   0.03582577,   0.00012579
 0.01953,   0.01953125,   0.00014602,  -0.00014542,   0.03582605,   0.00020608
 0.02734,   0.01953125,   0.00023702,  -0.00015866,   0.03581662,   0.00028522
 0.03516,   0.01953125,   0.00032620,  -0.00015095,   0.03579739,   0.00035944
 0.04297,   0.01953125,   0.00040257,  -0.00012745,   0.03576862,   0.00042226
 0.05078,   0.01953125,   0.00045763,  -0.00009272,   0.03573081,   0.00046693
 0.05859,   0.01953125,   0.00048518,  -0.00005044,   0.03568466,   0.00048779
 0.06641,   0.01953125,   0.00048095,  -0.00000345,   0.03563095,   0.00048096
 0.07422,   0.01953125,   0.00044223,   0.00004614,   0.03557047,   0.00044463
 0.08203,   0.01953125,   0.00036753,   0.00009677,   0.03550400,   0.00038005
 0.08984,   0.01953125,   0.00025623,   0.00014738,   0.03543223,   0.00029559
 0.09766,   0.01953125,   0.00010839,   0.00019724,   0.03535579,   0.00022506
 0.10547,   0.01953125,  -0.00007553,   0.00024591,   0.03527523,   0.00025724
 0.11328,   0.01953125,  -0.00029479,   0.00029315,   0.03519102,   0.00041574
 0.12109,   0.01953125,  -0.00054850,   0.00033890,   0.03510355,   0.00064475
 0.12891,   0.01953125,  -0.00083572,   0.00038317,   0.03501316,   0.00091937
 0.13672,   0.01953125,  -0.00115553,   0.00042607,   0.03492012,   0.00123158
 0.14453,   0.01953125,  -0.00150707,   0.00046776,   0.03482467,   0.00157799
 0.15234,   0.01953125,  -0.00188958,   0.00050841,   0.03472702,   0.00195678
 0.16016,   0.01953125,  -0.00230237,   0.00054818,   0.03462734,   0.00236673
 0.16797,   0.01953125,  -0.00274488,   0.00058725,   0.03452582,   0.00280700
 0.17578,   0.01953125,  -0.00321663,   0.00062576,   0.03442260,   0.00327693
 0.18359,   0.01953125,  -0.00371720,   0.00066383,   0.03431786,   0.00377601
 0.19141,   0.01953125,  -0.00424625,   0.00070153,   0.03421179,   0.00430381
 0.19922,   0.01953125,  -0.00480345,   0.00073891,   0.03410457,   0.00485995
 0.20703,   0.01953125,  -0.00538847,   0.00077597,   0.03399642,   0.00544406
 0.21484,   0.01953125,  -0.00600099,   0.00081269,   0.03388759,   0.00605577
 0.22266,   0.01953125,  -0.00664062,   0.00084900,   0.03377833,   0.00669467
 0.23047,   0.01953125,  -0.00730688,   0.00088479,   0.03366895,   0.00736025
 0.23828,   0.01953125,  -0.00799922,   0.00091991,   0.03355977,   0.00805195
 0.24609,   0.01953125,  -0.00871697,   0.00095421,   0.03345115,   0.00876904
 0.25391,   0.01953125,  -0.00945928,   0.00098746,   0.03334349,   0.00951068
 0.26172,   0.01953125,  -0.01022518,   0.00101945,   0.03323721,   0.01027587
 0.26953,   0.01953125,  -0.01101349,   0.00104993,   0.03313276,   0.01106342
